PriceId,PriceShowDateTime,PriceLow,PriceHigh,PriceAvg
349,2018-10-24,16600,16800,16700
349,2018-10-23,16650,16850,16750
349,2018-10-22,16700,16900,16800
349,2018-10-19,16700,16900,16800
349,2018-10-18,16700,16900,16800
349,2018-10-17,16800,17000,16900
349,2018-10-16,17000,17200,17100
349,2018-10-15,17100,17300,17200
349,2018-10-12,17200,17400,17300
349,2018-10-11,17200,17400,17300
349,2018-10-10,17300,17500,17400
349,2018-10-09,17400,17600,17500
349,2018-10-08,17500,17700,17600
349,2018-09-29,17500,17700,17600
349,2018-09-28,17500,17700,17600
349,2018-09-27,17600,17800,17700
349,2018-09-26,17600,17800,17700
349,2018-09-25,17750,17950,17850
349,2018-09-21,17800,18000,17900
349,2018-09-20,17800,18000,17900
349,2018-09-19,17800,18000,17900
349,2018-09-18,17800,18000,17900
349,2018-09-17,17800,18000,17900
349,2018-09-14,17800,18000,17900
349,2018-09-13,17800,18000,17900
349,2018-09-12,17500,17700,17600
349,2018-09-10,17300,17500,17400
349,2018-09-07,17000,17200,17100
349,2018-09-06,17000,17200,17100
349,2018-09-05,16600,16800,16700
349,2018-09-04,16600,16800,16700
349,2018-09-03,16600,16800,16700
349,2018-08-31,16700,16900,16800
349,2018-08-30,16850,17050,16950
349,2018-08-29,16900,17100,17000
349,2018-08-28,17200,17400,17300
349,2018-08-27,17200,17400,17300
349,2018-08-24,17400,17600,17500
349,2018-08-23,17600,17800,17700
349,2018-08-22,17600,17800,17700
349,2018-08-21,17500,17700,17600
349,2018-08-20,17300,17500,17400
349,2018-08-17,17300,17500,17400
349,2018-08-16,17200,17400,17300
349,2018-08-15,17100,17300,17200
349,2018-08-14,17300,17500,17400
349,2018-08-13,17600,17800,17700
349,2018-08-10,17600,17800,17700
349,2018-08-09,17800,18000,17900
349,2018-08-08,18000,18200,18100
349,2018-08-07,18200,18400,18300
349,2018-08-06,18600,18800,18700
349,2018-08-03,18800,19000,18900
349,2018-08-02,19000,19200,19100
349,2018-08-01,19000,19200,19100
349,2018-07-31,19100,19300,19200
349,2018-07-30,19200,19300,19250
349,2018-07-27,19100,19300,19200
349,2018-07-26,19100,19300,19200
